Group SMH GLOBAL OP SUMMARY,Group SMH_OP_ASC_OBS_LAB,Department Code & Name,CFY CASES,PFY CASES,CFY UNITS,PFY UNITS, CFY TOTAL CHARGES ,PFY TOTAL CHARGES, CFY NET REVENUE ,PFY NET REVENUE,CFY DIRECT COST,PFY DIRECT COST,CFY DIRECT MARGIN,PFY DIRECT MARGIN,CFY PROGRAM COST,PFY PROGRAM COST,CFY INDIRECT/ OH COST,PFY INDIRECT/ OH COST,CFY NET MARGIN,PFY NET MARGIN
014 Clinical Lab & Path,ASC,3180 SMH LSS-PHLEBOTOMY,1695,1968,2331,2707,20979,24383,7978,9772,29745,33789,-21767,-24018,7610,5696,6841,7928,-36217,-37642
014 Clinical Lab & Path,ASC,3200 SMH TOXICOLOGY LAB,135,114,142,121,15324,13004,5356,4759,1345,1048,4011,3711,441,915,569,618,3002,2178
014 Clinical Lab & Path,ASC,3220 SMH AP-AUTOPSY,73,61,126,124,83635,72898,28421,24951,34038,19466,-5617,5485,284,196,26556,21879,-32456,-16590
014 Clinical Lab & Path,ASC,3240 SMH AP-SURGPATH,8121,8150,26712,31194,5482915,5453805,2210387,2230700,541671,552093,1668716,1678607,49271,48402,247156,237763,1372289,1392441
014 Clinical Lab & Path,ASC,3260 SMH AP-CYTOPATH,395,372,1907,1629,302825,240327,96219,83138,48753,37105,47466,46032,4890,4002,14398,12572,28177,29459
014 Clinical Lab & Path,ASC,3280 SMH AP-IMMUNOPATH,1201,1129,7110,7571,1460493,1378715,533740,506743,105557,98269,428183,408474,10628,9285,30383,26235,387172,372955
014 Clinical Lab & Path,ASC,3300 SMH AP-NEUROPATH,15,35,155,296,28570,42152,10563,15205,3674,5822,6889,9383,205,270,1640,2543,5044,6570
014 Clinical Lab & Path,ASC,3320 SMH BIO GENETICS LAB,5,3,5,4,370,258,189,110,200,124,-11,-14,29,13,115,43,-154,-69
014 Clinical Lab & Path,ASC,3330 SMH CYTOGENETICS LAB,130,137,555,628,179976,175987,68498,69528,113847,97367,-45349,-27839,2322,42415,22521,29266,-70192,-99519
014 Clinical Lab & Path,ASC,3380 SMH MICROBIOLGY/ IMMUNOSR,1438,1221,7131,6033,274438,235892,102721,85294,45023,42678,57698,42616,9487,15961,11041,11902,37170,14753
014 Clinical Lab & Path,ASC,3420 SMH SURG TISSUE TYPING,118,103,223,236,88140,90215,34217,35060,33232,26163,985,8897,488,445,7436,6687,-6939,1765
014 Clinical Lab & Path,OBS,3000 SMH BLOOD BANK,1448,1100,5422,4253,1228191,963299,351004,298881,166686,120641,184317,178240,12354,9385,35993,28301,135971,140554
014 Clinical Lab & Path,OBS,3030 SMH HEMATOLOGY,26,33,123,195,23850,36806,5942,8954,2417,3977,3525,4977,328,489,802,1246,2396,3242
014 Clinical Lab & Path,OBS,3040 SMH MOLECULAR DIAGNOSTIC LAB,6,11,6,19,3005,9605,1016,3700,1000,2798,16,902,15,542,301,1178,-300,-817
014 Clinical Lab & Path,OBS,3060 SMH CLINICAL CHEM,13160,10454,130229,105668,4481099,3470972,1389659,1103131,420697,343896,968962,759235,340627,163862,184004,132247,444332,463127
014 Clinical Lab & Path,OBS,3070 SMH OP LAB - RIDGELAND,1206,601,1400,599,72315,28132,22366,8273,4178,1866,18188,6407,4693,1918,2179,914,11316,3574
014 Clinical Lab & Path,OBS,3150 SMH POINT-OF-CARE TESTING,381,265,544,259,26251,7186,11679,3013,22919,6745,-11240,-3732,0,0,4913,2059,-16153,-5792
014 Clinical Lab & Path,OBS,3160 SMH REFERENCE LAB,217,131,443,209,36052,25787,10652,10066,17638,8320,-6986,1745,959,290,2096,1072,-10041,383
014 Clinical Lab & Path,OBS,3180 SMH LSS-PHLEBOTOMY,9584,6758,18483,15009,166340,135046,54127,47033,235816,187148,-181689,-140115,60328,31548,54237,43911,-296255,-215574
014 Clinical Lab & Path,OBS,3200 SMH TOXICOLOGY LAB,635,533,730,609,112078,84934,31165,26646,13131,9285,18034,17360,4304,8112,5555,5479,8176,3769
014 Clinical Lab & Path,OBS,3220 SMH AP-AUTOPSY,9,6,15,12,10170,7050,4089,2390,4198,1884,-109,506,35,19,3275,2117,-3419,-1630
014 Clinical Lab & Path,OBS,3240 SMH AP-SURGPATH,513,414,1208,1124,294431,294324,124014,126058,27200,29828,96814,96230,2474,2615,12411,12846,81929,80770
014 Clinical Lab & Path,OBS,3260 SMH AP-CYTOPATH,22,18,81,68,15282,9871,4746,4236,2758,1426,1988,2810,277,154,814,483,897,2173
014 Clinical Lab & Path,OBS,3280 SMH AP-IMMUNOPATH,60,50,447,370,88405,61842,30994,23293,6898,4389,24096,18904,695,415,1985,1172,21416,17317
014 Clinical Lab & Path,OBS,3300 SMH AP-NEUROPATH,0,1,,12,,3120,,1837,,340,,1497,,16,,149,,1332
014 Clinical Lab & Path,OBS,3320 SMH BIO GENETICS LAB,1,4,1,4,74,288,38,114,40,136,-2,-22,6,14,23,47,-31,-83
014 Clinical Lab & Path,OBS,3330 SMH CYTOGENETICS LAB,13,16,55,97,27362,28439,12363,12713,16858,15624,-4494,-2912,344,6806,3335,4696,-8173,-14414
014 Clinical Lab & Path,OBS,3380 SMH MICROBIOLGY/ IMMUNOSR,4088,3236,13499,10361,1647204,1192626,469362,337391,275310,217568,194052,119823,58010,81368,67513,60675,68529,-22220
014 Clinical Lab & Path,OBS,3420 SMH SURG TISSUE TYPING,7,14,14,24,8116,12711,2932,4152,3029,3665,-97,488,44,62,678,937,-819,-511
014 Clinical Lab & Path,LAB,3000 SMH BLOOD BANK,20391,11777,81621,35796,8617107,8331300,1478286,1704729,1207337,1009926,270948,694803,89683,78566,261289,236915,-80025,379322
014 Clinical Lab & Path,LAB,3030 SMH HEMATOLOGY,3688,2584,18828,18540,3795126,3459415,1086909,1080953,376258,362057,710652,718896,51033,44562,124799,113395,534819,560939
014 Clinical Lab & Path,LAB,3040 SMH MOLECULAR DIAGNOSTIC LAB,1686,1598,2318,2120,1287996,1140594,340212,315307,430918,341960,-90705,-26653,6476,66185,129640,143915,-226821,-236753
014 Clinical Lab & Path,LAB,3060 SMH CLINICAL CHEM,382293,399832,894993,960078,46331056,47151591,10488387,10775693,4409769,4696785,6078618,6078908,3570471,2237954,1928746,1806172,579402,2034782
014 Clinical Lab & Path,LAB,3070 SMH OP LAB - RIDGELAND,378317,332464,1137182,971555,50476203,40727450,11915478,9403036,2917757,2705489,8997722,6697547,3277332,2780700,1521886,1325116,4198504,2591731
014 Clinical Lab & Path,LAB,3150 SMH POINT-OF-CARE TESTING,8940,11297,8842,11043,371104,421280,80487,100073,331251,406647,-250764,-306574,0,1,71002,124164,-321767,-430739
014 Clinical Lab & Path,LAB,3160 SMH REFERENCE LAB,49619,52786,100683,93829,9723715,11721788,1908298,2618435,5231094,4971747,-3322795,-2353312,284560,173444,621493,640735,-4228849,-3167491
014 Clinical Lab & Path,LAB,3180 SMH LSS-PHLEBOTOMY,552572,536994,627579,627670,5323523,5253523,1033212,1115059,7430909,7280318,-6397697,-6165259,1901028,1227252,1709099,1708207,-10007823,-9100718
014 Clinical Lab & Path,LAB,3200 SMH TOXICOLOGY LAB,110811,107785,104181,101637,12699522,11905029,2736707,2784255,948405,835818,1788302,1948437,310852,730206,401189,493224,1076261,725007
014 Clinical Lab & Path,LAB,3220 SMH AP-AUTOPSY,119,118,187,236,132052,138554,47116,52010,55542,37048,-8426,14962,463,373,43333,41640,-52221,-27051
014 Clinical Lab & Path,LAB,3240 SMH AP-SURGPATH,36186,33835,89808,101981,16184807,15705128,4763109,4460192,1584303,1401350,3178806,3058842,144110,122857,722894,603503,2311802,2332482
014 Clinical Lab & Path,LAB,3260 SMH AP-CYTOPATH,42413,35816,52795,49163,5681011,4916885,1630419,1445085,1188223,965285,442196,479800,119177,104110,350924,327057,-27905,48633
014 Clinical Lab & Path,LAB,3280 SMH AP-IMMUNOPATH,5562,5025,28779,29744,7519234,6695984,1938832,2056372,535281,479572,1403551,1576800,53895,45311,154073,128030,1195583,1403459
014 Clinical Lab & Path,LAB,3300 SMH AP-NEUROPATH,268,229,3305,2083,717218,439683,292949,183351,91992,51370,200957,131981,5138,2384,41063,22432,154756,107164
014 Clinical Lab & Path,LAB,3320 SMH BIO GENETICS LAB,1998,4997,3856,9311,240090,591331,46694,127468,130164,280349,-83470,-152881,18601,28728,74592,96660,-176664,-278268
014 Clinical Lab & Path,LAB,3330 SMH CYTOGENETICS LAB,1274,1332,6690,7277,1907005,1988971,428778,476915,1203297,1098747,-774519,-621832,24542,478637,238035,330251,-1037096,-1430720
014 Clinical Lab & Path,LAB,3360 SMH ENDO/RIA LAB,0,1,,1,,54,,15,,1,,14,,963,,4817,,-5766
014 Clinical Lab & Path,LAB,3380 SMH MICROBIOLGY/ IMMUNOSR,221341,205794,578835,545059,48517141,42254614,11513881,10304885,8017362,7708259,3496519,2596626,1689325,2882789,1966045,2149669,-158852,-2435833
014 Clinical Lab & Path,LAB,3420 SMH SURG TISSUE TYPING,1058,945,1628,1641,774572,862600,161839,192462,292310,250937,-130471,-58475,4290,4268,65408,64136,-200169,-126879
015 O.R./PeriOp Svcs,OUTPATIENT,4250 SMH OPERATING RMS -LABOR,2120,2367,2792,2365,995543,1086645,324364,428493,255058,252344,69306,176150,16881,17526,181036,142782,-128610,15842
015 O.R./PeriOp Svcs,OUTPATIENT,4260 SMH O.R.-MATERIALS,16,23,173,159,7907,10901,1173,4599,3514,4845,-2341,-246,0,0,0,0,-2341,-246
015 O.R./PeriOp Svcs,ASC,4250 SMH OPERATING RMS -LABOR,17851,16874,68151,30781,77925933,75989577,30604145,30298632,19191872,17479796,11412273,12818836,1262421,1214000,13699006,9959991,-3549154,1644844
015 O.R./PeriOp Svcs,ASC,4260 SMH O.R.-MATERIALS,14986,14172,379964,219197,32013796,26861783,12969588,10986552,14221372,11938536,-1251783,-951984,0,0,0,0,-1251783,-951984
015 O.R./PeriOp Svcs,ASC,4320 SMH PACU-RECOVERY,11133,12295,21772,12507,10190785,10776892,3917967,4279840,2472775,3730408,1445192,549432,433107,400637,814613,1061880,197473,-913085
015 O.R./PeriOp Svcs,ASC,4340 SMH AMBULATORY SURGERY CENTER,14944,14783,22076,15250,8267121,8551114,3283375,3481309,10799675,9850727,-7516301,-6369418,756628,584826,3700754,4267016,-11973683,-11221260
015 O.R./PeriOp Svcs,OBS,4250 SMH OPERATING RMS -LABOR,689,370,2588,695,2876751,3255053,1292681,1484934,670209,656677,622473,828257,44213,45607,496063,412981,82197,369668
015 O.R./PeriOp Svcs,OBS,4260 SMH O.R.-MATERIALS,481,323,17546,9732,985493,1017040,447089,476574,437997,452018,9092,24556,0,0,0,0,9092,24556
015 O.R./PeriOp Svcs,OBS,4320 SMH PACU-RECOVERY,242,315,389,316,261328,321769,117670,144785,64031,111230,53640,33555,11226,11946,21112,31662,21302,-10053
015 O.R./PeriOp Svcs,OBS,4340 SMH AMBULATORY SURGERY CENTER,18,11,20,11,15924,7189,7277,2839,20429,8199,-13152,-5360,1432,487,7001,3551,-21584,-9398
015a ASC - Sawgrass,OUTPATIENT,4330 SMH ASC - SAWGRASS,1243,1420,7527,3271,3222872,3370439,1324892,1578974,765389,790952,559503,788022,50978,56740,189521,199454,319004,531828
015a ASC - Sawgrass,ASC,4330 SMH ASC - SAWGRASS,10668,10589,600360,256788,80358619,75072007,37136090,35597525,26025567,24618323,11110523,10979202,1403459,1296337,5217382,4556878,4489682,5125986
015a ASC - Sawgrass,OBS,4330 SMH ASC - SAWGRASS,5,3,323,109,59359,37080,24160,9839,21380,15003,2780,-5164,991,676,3684,2378,-1895,-8218
015b ASC - Strong West,OUTPATIENT,4350 SMH STRONG WEST ASC,1198,422,4381,1289,4037931,1469159,1551582,654493,1010893,652963,540689,1530,159475,126522,883945,356413,-502732,-481405
015b ASC - Strong West,ASC,4350 SMH STRONG WEST ASC,763,451,26424,9972,4491318,2464703,2023602,1091370,1558919,1277450,464684,-186080,186395,212251,1033156,597909,-754867,-996240
017 Anesthesiology,OUTPATIENT,6580 SMH PAIN TREAT CENTER,6540,4989,43523,35768,9534325,7072300,2980240,2670403,2311721,1760830,668519,909572,256311,249584,469846,350203,-57638,309785
017 Anesthesiology,ASC,6580 SMH PAIN TREAT CENTER,0,1,,0,,0,,0,,0,,0,,0,,0,,0
018 Dentistry,OUTPATIENT,6480 SMH OPD-DENTISTRY,2727,2289,20824,11388,1494536,1400706,509968,562534,813945,814726,-303977,-252192,757482,703648,460874,468454,-1522332,-1424294
018 Dentistry,OUTPATIENT,6481 SMH ACC DENTAL CLINIC,2,0,5,,1755,,89,,0,,89,,0,,0,,89,
018 Dentistry,ASC,6480 SMH OPD-DENTISTRY,2,9,1,14,150,638,30,293,83,373,-53,-79,77,322,47,214,-177,-615
018 Dentistry,OBS,6480 SMH OPD-DENTISTRY,45,27,124,112,16053,11949,4863,2528,8810,6879,-3947,-4351,8219,5941,5002,3955,-17168,-14247
019 Dermatology,OUTPATIENT,6520 SMH OPD-DERMATOLOGY,0,934,,1184,,328636,,103968,,234565,,-130597,,272,,422193,,-553062
019 Dermatology,OUTPATIENT,6521 SMH DERMATOLOGY COLLEGE TOWN SURGERY,54,0,115,,37405,,18910,,13218,,5693,,1789,,2319,,1584,
019 Dermatology,OUTPATIENT,6522 SMH DERMATOLOGY RED CREEK SURGERY,26,0,83,,56099,,13614,,11434,,2180,,2563,,2132,,-2515,
019 Dermatology,OUTPATIENT,6523 SMH DERMATOLOGY RED CREEK GENERAL,105,0,157,,21072,,4204,,7540,,-3336,,1230,,1399,,-5965,
019 Dermatology,OUTPATIENT,6524 SMH DERMATOLOGY BROCKPORT,37,0,98,,11007,,2325,,4999,,-2674,,572,,911,,-4157,
020 Dialysis,OUTPATIENT,1821 SMH INPATIENT DIALYSIS,35,95,35,95,39067,102515,6635,22672,4039,13439,2596,9233,2,352,1364,8309,1231,572
020 Dialysis,OUTPATIENT,4520 SMH SMH DIALYSIS,11,0,11,,12815,,5794,,2895,,2899,,145,,3369,,-615,
020 Dialysis,ASC,1821 SMH INPATIENT DIALYSIS,11,19,11,24,12205,26056,4142,6437,1269,3395,2873,3042,1,89,429,2099,2443,854
020 Dialysis,ASC,4520 SMH SMH DIALYSIS,8,0,12,,24600,,8787,,5557,,3230,,278,,6467,,-3515,
020 Dialysis,OBS,1821 SMH INPATIENT DIALYSIS,442,585,519,649,586399,702830,146188,179141,60417,92456,85772,86685,27,2422,20399,57162,65346,27101
020 Dialysis,OBS,4520 SMH SMH DIALYSIS,267,0,313,,383230,,116037,,86575,,29462,,4326,,100752,,-75616,
021 Occ Med,OUTPATIENT,6410 SMH OPD-OCC MED,5330,5520,5977,6254,391198,396882,326672,272120,433086,605937,-106414,-333816,179,206,124062,165788,-230655,-499810
021 Occ Med,OBS,6410 SMH OPD-OCC MED,1,0,1,,52,,11,,57,,-46,,0,,16,,-63,
022 Ophthalmology,OUTPATIENT,6420 SMH OPD-EYE,20916,19646,62298,53843,21547240,19554210,7844681,7825821,7512648,6217206,332033,1608615,928034,862836,2386183,2106897,-2982185,-1361118
022 Ophthalmology,ASC,6420 SMH OPD-EYE,31,29,40,42,12670,11420,5090,4435,3921,3580,1169,855,934,497,2402,1213,-2167,-854
022 Ophthalmology,OBS,6420 SMH OPD-EYE,8,3,12,3,2051,794,549,306,715,255,-166,52,171,35,439,86,-775,-70
023 Respiratory Care,OUTPATIENT,4380 SMH RESPIRATORY THERAPY,212,174,1008,882,78911,56769,17386,17055,11565,9141,5821,7913,0,0,3701,2922,2120,4992
023 Respiratory Care,ASC,4380 SMH RESPIRATORY THERAPY,253,245,798,847,110081,100704,38207,36491,16404,16271,21803,20219,0,0,5250,5200,16554,15019
023 Respiratory Care,OBS,4380 SMH RESPIRATORY THERAPY,441,333,1824,1362,256063,171758,77941,50544,38287,27608,39654,22937,0,0,12254,8823,27400,14113
024 Urology,OUTPATIENT,4360 SMH LITHOTRIPSY PROGRAM,1,2,1,1,10647,9208,2900,95,1002,744,1898,-649,310,264,370,269,1218,-1182
024 Urology,OUTPATIENT,6460 SMH OPD-UROLOGY,3009,2067,4961,2638,3799434,3264980,1589846,1411271,568201,420270,1021645,991001,86479,82296,673873,581410,261293,327295
024 Urology,ASC,4360 SMH LITHOTRIPSY PROGRAM,673,779,743,994,5776169,6274264,2623891,2850915,507827,493098,2116064,2357816,157367,175078,187525,178201,1771173,2004537
024 Urology,ASC,6460 SMH OPD-UROLOGY,12,1,13,1,40616,135,17090,8,6238,17,10852,-10,959,3,7477,24,2416,-37
024 Urology,OBS,4360 SMH LITHOTRIPSY PROGRAM,5,0,5,,51966,,24598,,4889,,19709,,1515,,1806,,16388,
024 Urology,OBS,6460 SMH OPD-UROLOGY,4,0,6,,6590,,2178,,970,,1208,,149,,1162,,-103,
025 Other,OUTPATIENT,4490 SMH MEMEORY CARE PROGRAM,578,647,1135,1524,252251,325633,93050,104895,141453,190097,-48402,-85202,9,6,17535,25661,-65946,-110870
025 Other,OUTPATIENT,4720 SMH OPO ORGANS,1,0,0,,0,,0,,0,,0,,0,,0,,0,
025 Other,OUTPATIENT,6550 SMH SLEEP LAB,11304,11671,18903,23431,9655415,9966418,3306036,3579710,3876170,3530788,-570134,48922,7753,7850,720196,677054,-1298083,-635982
025 Other,OUTPATIENT,6640 SMH NUTRITIONAL SUPPORT SVC,165,120,339,173,61085,58003,14343,21764,70945,11745,-56601,10019,40,49,10226,2629,-66867,7342
025 Other,OUTPATIENT,6900 SMH SCHOOL BASED HEALTH PROGRAM,4050,0,34324,,1277993,,391738,,593038,,-201300,,0,,332,,-201632,
025 Other,ASC,6550 SMH SLEEP LAB,2,0,3,,737,,315,,330,,-15,,1,,61,,-77,
025 Other,ASC,6640 SMH NUTRITIONAL SUPPORT SVC,18,20,17,68,2697,10480,935,3849,3163,2100,-2229,1749,2,9,456,470,-2687,1270
025 Other,OBS,6550 SMH SLEEP LAB,1,0,2,,225,,41,,93,,-52,,0,,17,,-70,
025 Other,OBS,6640 SMH NUTRITIONAL SUPPORT SVC,10,37,14,123,2220,18804,533,6144,2612,3799,-2079,2345,1,16,376,850,-2457,1479
026 Nursing Units,OUTPATIENT,1100 SMH NS 1-9200 BEHAVIORAL MED SURG UNIT,1,0,0,,0,,0,,0,,0,,0,,0,,0,
026 Nursing Units,OUTPATIENT,1351 SMH NS CH 3 NICU,28,1,15675,0,13319,0,483,0,3102,0,-2619,0,223,0,1005,0,-3847,0
026 Nursing Units,OUTPATIENT,1530 SMH 5-1600 CEP,3,0,3,,6165,,2965,,1276,,1688,,106,,478,,1104,
026 Nursing Units,OUTPATIENT,1700 SMH 7-1200 MED/SURG,1,0,3,,1946,,430,,756,,-326,,261,,414,,-1001,
026 Nursing Units,OUTPATIENT,1730 SMH 7-3400 MED/SURG,1,0,47,,2799,,618,,634,,-15,,107,,318,,-440,
026 Nursing Units,ASC,1100 SMH NS 1-9200 BEHAVIORAL MED SURG UNIT,1,0,3,,0,,0,,0,,0,,0,,0,,0,
026 Nursing Units,ASC,1420 SMH 4-2800 PEDS CARDIAC ICU,5,30,5,30,7350,43330,3328,18024,2555,13711,773,4313,1014,1983,3675,7160,-3915,-4830
026 Nursing Units,ASC,1421 SMH NS CH 6S,38,0,47,,63179,,24401,,17483,,6918,,8,,6952,,-43,
026 Nursing Units,ASC,1430 SMH 4-1600 PEDIATRICS,81,255,91,267,115185,370580,44424,164051,48980,181923,-4557,-17872,10798,78195,33357,161139,-48712,-257207
026 Nursing Units,ASC,1440 SMH 4-3600 PEDIATRICS,258,392,1179,412,394384,581620,154231,238662,140088,223640,14143,15022,33188,41004,93560,124695,-112605,-150677
026 Nursing Units,ASC,1450 SMH 4-1800 PEDIATRICS ICU (PICU) (prev. 4-2800),28,73,31,76,42630,108430,15576,41412,36504,39079,-20927,2333,10692,5004,19891,15291,-51511,-17961
026 Nursing Units,ASC,1451 SMH NS CH 6N,20,0,28,,35474,,11712,,10676,,1036,,5,,4172,,-3141,
026 Nursing Units,ASC,1470 SMH 4-3400 MED/SURG,21,20,34,21,31833,27230,9879,8782,12761,10559,-2882,-1777,3619,2933,7094,6764,-13595,-11474
026 Nursing Units,ASC,1510 SMH 5-1400 MED/SURG UNIT,109,43,377,60,162236,71960,56462,27543,99339,34535,-42877,-6991,21529,4708,47979,17332,-112385,-29031
026 Nursing Units,ASC,1540 SMH 5-1600 MED/SURG,11,11,18,13,26610,18830,10212,7747,14547,6006,-4335,1741,5857,2506,8720,4283,-18912,-5048
026 Nursing Units,ASC,1550 SMH 5-3400 MED/SURG UNIT,78,75,371,118,187744,147140,60895,48492,68268,51342,-7373,-2850,14455,10859,38266,33389,-60094,-47098
026 Nursing Units,ASC,1560 SMH 5-3600 MED/SURG,52,41,129,51,87150,51380,37317,21580,31158,16173,6159,5406,13289,9341,16081,10230,-23211,-14165
026 Nursing Units,ASC,1600 SMH 6-1600 MED/SURG,3,6,3,15,3015,20440,1002,4796,1207,8109,-205,-3313,193,1326,592,4535,-989,-9175
026 Nursing Units,ASC,1610 SMH 6-1400 MED/SURG,2,0,19,,4075,,1183,,2052,,-868,,292,,970,,-2130,
026 Nursing Units,ASC,1620 SMH 6-3400 MED/SURG,1,1,4,1,5880,1470,383,177,2296,549,-1912,-372,374,94,1209,339,-3495,-805
026 Nursing Units,ASC,1630 SMH 6-3600 MED/SURG,2,58,2,76,0,102760,0,37152,0,40941,0,-3788,0,14168,0,25138,0,-43095
026 Nursing Units,ASC,1640 SMH 6-1200 MED/SURG,5,4,7,12,8895,17010,1594,7899,4778,9120,-3184,-1221,583,1155,1871,4159,-5638,-6534
026 Nursing Units,ASC,1700 SMH 7-1200 MED/SURG,69,119,283,148,112407,196630,41897,70366,42354,75396,-456,-5030,14666,23608,23210,46511,-38333,-75149
026 Nursing Units,ASC,1710 SMH 7-1400 MED/SURG,127,341,412,367,198740,517720,73718,219193,42769,112929,30949,106264,8523,21923,24126,69321,-1701,15019
026 Nursing Units,ASC,1720 SMH 7-1600 MED/SURG,1,2,1,2,1470,2870,349,1662,591,1258,-241,404,23,48,182,398,-447,-42
026 Nursing Units,ASC,1730 SMH 7-3400 MED/SURG,7,3,45,4,8491,5740,3876,2299,1846,1219,2030,1080,312,207,926,694,792,178
026 Nursing Units,ASC,1740 SMH 7-3600 MED/SURG,20,16,54,17,30452,20230,10269,7954,13246,10087,-2977,-2133,2414,1569,7021,5304,-12412,-9007
026 Nursing Units,ASC,1820 SMH 8-3400 MED/SURG,1,1,1,1,1470,1400,167,751,448,432,-281,318,22,23,162,178,-465,117
026 Nursing Units,ASC,1830 SMH NS 8-1400 SWING UNIT,1,1,0,1,0,1400,0,246,0,472,0,-226,0,39,0,190,0,-455
026 Nursing Units,ASC,1840 SMH 3-2800 BURN TRAUMA STEPDOWN,4,2,10,2,6120,2800,2667,738,2656,1096,11,-359,325,128,1103,514,-1418,-1000
026 Nursing Units,ASC,1850 SMH 3-1800 AICU (ADULT ICU),1,0,4,,3105,,1925,,1041,,884,,123,,404,,357,
026 Nursing Units,OBS,1100 SMH NS 1-9200 BEHAVIORAL MED SURG UNIT,213,339,5155,908,986174,1084860,190639,226198,510775,580160,-320136,-353962,42145,47422,235410,300999,-597690,-702383
026 Nursing Units,OBS,1300 SMH BIRTH CENTER 3-1600 3-3600,42,38,271,41,30893,25808,11371,12542,11863,9285,-492,3258,3184,2303,7455,6684,-11131,-5730
026 Nursing Units,OBS,1310 SMH HIGH RISK OB/DELIVERY,353,374,3171,417,466516,376110,188311,171266,158292,129084,30019,42183,50759,39939,144709,146319,-165449,-144075
026 Nursing Units,OBS,1320 SMH OB/GYN,3434,3386,15972,14826,4103007,5462346,1367971,1859312,770470,892238,597501,967074,25047,29182,356647,461763,215807,476129
026 Nursing Units,OBS,1351 SMH NS CH 3 NICU,0,1,,1,,1400,,751,,316,,435,,19,,112,,304
026 Nursing Units,OBS,1420 SMH 4-2800 PEDS CARDIAC ICU,0,5,,6,,8680,,5435,,2740,,2695,,396,,1431,,868
026 Nursing Units,OBS,1421 SMH NS CH 6S,82,0,178,,112364,,48237,,31236,,17001,,15,,12416,,4571,
026 Nursing Units,OBS,1430 SMH 4-1600 PEDIATRICS,41,99,52,124,59400,136990,13105,50145,24889,67366,-11784,-17221,5487,28956,16950,59670,-34221,-105846
026 Nursing Units,OBS,1440 SMH 4-3600 PEDIATRICS,97,135,820,200,165029,250040,51508,55571,58559,96344,-7051,-40773,13872,17665,39109,53719,-60033,-112157
026 Nursing Units,OBS,1450 SMH 4-1800 PEDIATRICS ICU (PICU) (prev. 4-2800),9,9,12,10,17640,7000,4183,702,15055,2568,-10873,-1867,4410,329,8204,1005,-23486,-3201
026 Nursing Units,OBS,1451 SMH NS CH 6N,54,0,94,,75881,,28557,,22734,,5823,,10,,8909,,-3097,
026 Nursing Units,OBS,1460 SMH 4-1200 PALLIATIVE CARE UNIT,5,3,45,7,4013,8610,696,2602,1832,3882,-1137,-1279,293,599,1087,2547,-2517,-4426
026 Nursing Units,OBS,1470 SMH 4-3400 MED/SURG,63,64,695,105,109302,125510,29172,30360,43948,48902,-14775,-18542,12469,13583,24455,31328,-51700,-63453
026 Nursing Units,OBS,1510 SMH 5-1400 MED/SURG UNIT,79,120,944,404,156908,472990,48202,95581,94356,233843,-46154,-138261,20458,31878,45598,117358,-112211,-287498
026 Nursing Units,OBS,1530 SMH 5-1600 CEP,58,11,1412,13,142857,38700,43907,15284,30012,11398,13895,3886,2486,932,11241,5051,168,-2097
026 Nursing Units,OBS,1540 SMH 5-1600 MED/SURG,62,137,132,243,131010,245070,29914,61703,68175,78684,-38261,-16981,27444,32835,40861,56110,-106567,-105926
026 Nursing Units,OBS,1550 SMH 5-3400 MED/SURG UNIT,55,79,1142,187,187244,233170,41674,46493,67944,81130,-26270,-34637,14386,17160,38088,52760,-78745,-104557
026 Nursing Units,OBS,1560 SMH 5-3600 MED/SURG,66,89,1128,165,149232,222600,43470,58372,53212,69418,-9742,-11046,22699,40094,27467,43910,-59908,-95050
026 Nursing Units,OBS,1600 SMH 6-1600 MED/SURG,102,110,3036,316,576541,396970,164477,89942,236545,159088,-72068,-69146,37721,26020,115957,88963,-225747,-184129
026 Nursing Units,OBS,1610 SMH 6-1400 MED/SURG,61,84,830,210,201487,245840,46397,53691,93376,93052,-46980,-39361,13313,16336,44170,58699,-104463,-114396
026 Nursing Units,OBS,1620 SMH 6-3400 MED/SURG,98,94,1036,199,221269,255500,48091,56560,87573,98210,-39482,-41649,14253,16872,46106,60643,-99841,-119164
026 Nursing Units,OBS,1630 SMH 6-3600 MED/SURG,82,84,2716,182,642709,237090,185241,52647,245332,92002,-60091,-39354,75463,31839,135812,56491,-271366,-127684
026 Nursing Units,OBS,1640 SMH 6-1200 MED/SURG,78,124,2331,393,499381,510230,100429,180539,271975,271281,-171546,-90742,33154,34341,106501,123698,-311201,-248781
026 Nursing Units,OBS,1700 SMH 7-1200 MED/SURG,63,94,779,148,134975,195300,43297,56812,50124,74175,-6827,-17363,17363,23225,27474,45758,-51664,-86346
026 Nursing Units,OBS,1710 SMH 7-1400 MED/SURG,53,45,624,56,87082,54320,23662,12537,19273,11824,4389,713,3838,2295,10871,7258,-10320,-8841
026 Nursing Units,OBS,1730 SMH 7-3400 MED/SURG,24,10,278,16,34606,17010,7689,4196,7567,3659,121,537,1279,622,3794,2082,-4952,-2168
026 Nursing Units,OBS,1740 SMH 7-3600 MED/SURG,13,28,38,48,14802,62720,3562,17262,6307,31616,-2745,-14354,1150,4919,3343,16624,-7238,-35897
026 Nursing Units,OBS,1820 SMH 8-3400 MED/SURG,0,2,,2,,1400,,298,,432,,-134,,23,,178,,-335
